,sampno,sio2,tio2,al2o3,fe2o3,mgo,cao,mno,k2o,p2o5,rock_type
145,2158931,53.58,1.13,17.2,8.05,4.38,6.15,0.205269,3.37,0.345,diorite
146,2158932,55.5,0.99,16.3,7.47,4.72,5.86,0.160084,3.17,0.31,diorite
147,2158933,61.53,0.59,14.2,7.46,4.03,4.2,0.228507,1.39,0.181,diorite
155,2158939,58.94,0.85,16.1,6.58,4.2,4.84,0.231089,3.09,0.242,diorite
156,2158940,57.29,0.94,16.3,7.31,4.42,5.04,0.171703,3.3,0.28,diorite
157,2158941,56.72,0.95,15.9,7.43,4.79,4.96,0.267237,3.15,0.261,diorite
159,2138056,55.38,1.09,16.8,7.86,4.53,5.24,0.191068,3.1,0.335,diorite
160,2158942,62.78,0.67,15.5,5.13,3.23,3.04,0.178158,3.78,0.222,diorite
161,2158943,57.69,0.83,16.1,6.34,4.89,4.45,0.299512,2.9,0.247,diorite
176,2158956,61.64,0.45,14.5,6.24,5.31,1.62,0.382136,2.4,0.209,diorite
177,2158957,68.4,0.19,13.9,3.17,2.81,1.82,0.183322,4.78,0.242,diorite
178,2158958,63.14,0.42,14,5.73,4.94,2.45,0.347279,2.61,0.137,diorite
179,2158959,62.14,0.48,13.6,5.13,6.52,2.95,0.233671,2.98,0.149,diorite
185,2158964,55.87,0.54,12,8.14,11,3.97,0.405374,3.37,0.178,diorite
186,2158965,57.09,0.6,12.8,6.83,9.65,5.22,0.234962,3.23,0.197,diorite
187,2158966,58.22,0.5,13.2,7.24,8.2,3.95,0.331787,3.27,0.218,diorite
188,2158967,56.43,0.58,12.8,8.89,8.42,3.87,0.384718,3.05,0.169,diorite
189,2158968,55.47,0.6,12.7,9.98,8.27,2.86,1.210958,1.86,0.156,diorite
190,2158969,59.76,0.45,11.8,7.71,6.95,4.63,0.506072,3.6,0.144,diorite
191,2158970,57.26,0.67,13.3,6.94,7.92,5.16,0.242708,4,0.206,diorite
192,2158971,56.09,0.71,13.3,6.95,8.63,5.72,0.267237,3.99,0.196,diorite
193,2158972,60.82,0.6,13.5,5.81,6.31,4.23,0.247872,4.21,0.197,diorite
195,2138059,73.72,0.14,13,1.91,0.37,0.86,0.118772,4.48,0.141,granite
196,2158973,75.97,0.05,12.7,0.88,0.23,0.42,0.055513,5.05,0.186,granite
197,2158974,71.36,0.18,14.9,1.48,0.56,0.9,0.09037,4.1,0.192,granite
198,2158975,54.32,0.74,13.2,9.87,8.73,3.16,1.005689,2.65,0.205,diorite
199,2158976,57.18,0.61,13.6,7.12,6.91,4.43,0.416993,2.63,0.173,diorite
200,2158977,56.49,0.93,15,6.72,6.28,5.49,0.233671,3.53,0.206,diorite
201,2158978,62.1,0.5,15,4.46,3.36,4.49,0.172994,4.45,0.249,diorite
202,2158979,55.56,0.87,15.5,7.11,6.34,5.47,0.234962,3.45,0.262,diorite
203,2158980,55.65,0.66,14,6.78,8.54,5.48,0.243999,4,0.188,diorite
205,2138060,53.99,0.87,13,7.53,8.86,6.26,0.233671,2.58,0.158,diorite
206,2158981,53.6,1.01,13.6,8.6,7.57,5.66,0.265946,2.58,0.199,diorite
207,2158982,61.31,0.65,16.2,4.13,3.62,3.47,0.160084,4.93,0.254,diorite
208,2158983,58.39,0.75,13,6.96,7.56,4.61,0.228507,3.36,0.152,diorite
209,2158984,55.53,0.76,12.8,7.84,9.47,5.79,0.218179,3.34,0.162,diorite
210,2158985,59.35,0.62,13.4,6.05,7.85,4.22,0.16783,4.03,0.17,diorite
211,2158986,57.2,0.54,13.2,5.84,8.4,6.01,0.187195,2.92,0.162,diorite
212,2158987,57.43,0.59,13.7,6.42,8.37,4.45,0.178158,3.44,0.156,diorite
213,2158988,55.41,0.67,13.1,7.05,9.98,5.93,0.187195,2.03,0.172,diorite
214,2158989,56.96,0.64,13.1,5.85,7.63,6.67,0.183322,2.85,0.143,diorite
216,2158990,54.92,0.69,12.6,7.48,10.5,5.34,0.238835,2.41,0.159,diorite
217,2158991,56.29,0.65,13.6,6.32,8.64,6.18,0.214306,2.54,0.174,diorite
218,2158992,53.68,0.73,13.1,7.8,9.65,7.16,0.216888,1.87,0.176,diorite
219,2158993,53.95,0.88,13.1,7.73,9.75,6.54,0.198814,2.62,0.168,diorite
220,2158994,55.17,0.74,13.2,7.29,9.54,5.85,0.162666,3.06,0.184,diorite
221,2158995,53.38,0.95,14.3,8.28,8.17,6.42,0.210433,3.65,0.248,diorite
222,2158996,55.16,0.81,15.8,7.33,6.48,5.9,0.15492,3.39,0.269,diorite
